time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,35.0,2.5,0.36,1.5,34,0,15040.0,1,0.457
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,55.0,5.2,0.45,2.1,84,0,15120.0,1,0.456
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,140.0,8.9,0.43,2.9,111,0,16360.0,1,0.456
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,37.0,240.0,12.3,0.41,3.2,76,27,17380.0,1,0.455
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,37.0,360.0,14.8,0.25,3.3,53,100,19480.0,1,0.454
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,37.0,375.0,15.2,0.65,3.1,148,99,19480.0,1,0.453
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,95.0,470.0,16.1,1.03,3.6,141,77,17080.0,1,0.476
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,38.0,345.0,15.9,0.96,3.0,84,91,17080.0,1,0.475
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.0,240.0,15.8,0.56,3.0,170,15,17080.0,1,0.473
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.0,35.0,15.0,0.38,2.3,157,3,17100.0,1,0.472
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.0,10.0,12.7,0.21,2.1,76,2,16160.0,1,0.471
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.0,15.0,11.3,0.34,2.3,333,1,16200.0,0,0.47
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,53.0,10.0,9.0,0.16,2.5,288,0,15200.0,0,0.445
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,38.0,15.0,7.1,0.29,1.5,329,0,14020.0,0,0.445
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,5.7,0.65,1.7,328,0,12340.0,0,0.445
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.0,30.0,5.0,0.18,1.8,326,0,12480.0,0,0.445
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.0,30.0,4.2,0.21,0.9,315,0,11420.0,0,0.445
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.0,15.0,3.3,0.14,0.9,315,0,9700.0,0,0.445
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,139.0,10.0,2.3,0.16,1.0,288,98,2040.0,0,0.445
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,39.0,15.0,1.4,0.66,1.6,351,75,2340.0,0,0.445
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,39.0,10.0,0.8,0.55,1.8,355,52,2880.0,0,0.445
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,39.0,10.0,0.8,0.2,1.4,360,36,3600.0,0,0.445
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,39.0,10.0,0.8,0.1,0.6,360,31,7020.0,0,0.445
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.0,10.0,0.6,0.3,0.9,360,10,9540.0,0,0.445
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,10.0,0.8,0.21,0.9,45,74,320.0,1,0.437
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,40.0,35.0,4.4,0.36,2.0,34,68,9980.0,1,0.437
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,40.0,215.0,8.5,0.4,2.9,60,38,15580.0,1,0.437
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,325.0,11.4,0.71,3.7,51,2,16480.0,1,0.437
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,440.0,14.2,0.71,4.0,39,1,16240.0,1,0.436
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,610.0,16.5,0.47,3.9,108,1,17140.0,1,0.435
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,710.0,17.4,1.71,5.0,159,30,17060.0,1,0.447
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,1720.0,18.5,1.58,5.4,162,39,17000.0,1,0.446
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1635.0,18.8,1.46,4.9,158,2,19480.0,1,0.445
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,315.0,17.2,1.07,4.0,143,1,17000.0,1,0.445
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,13.2,1.83,4.9,163,1,17000.0,1,0.445
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,11.3,1.5,5.0,176,5,15960.0,0,0.445
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,147.0,15.0,11.1,0.27,4.3,112,18,15960.0,0,0.44
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,9.5,0.3,2.2,189,22,14740.0,0,0.44
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,10.0,8.0,0.15,2.2,90,27,13340.0,0,0.44
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,10.0,6.6,0.16,1.8,72,20,13360.0,0,0.44
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,5.7,0.1,1.4,90,11,11340.0,0,0.44
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,5.0,0.21,1.2,45,9,10120.0,0,0.44
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,15.0,4.3,0.34,1.1,63,9,10120.0,0,0.44
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,20.0,3.9,0.47,1.2,32,11,10080.0,0,0.44
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,3.4,0.32,1.1,18,9,10100.0,0,0.44
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,2.7,0.25,1.1,37,5,8460.0,0,0.44
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,2.1,0.18,1.0,34,2,5580.0,0,0.44
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,1.6,0.21,0.9,45,0,5640.0,0,0.44
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,77.0,10.0,2.1,0.18,0.9,56,100,420.0,1,0.44
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,40.0,4.7,0.53,2.4,49,48,2780.0,1,0.44
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,155.0,8.6,0.32,2.9,18,0,13580.0,1,0.44
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,295.0,11.9,0.3,3.3,9,0,14960.0,1,0.44
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,455.0,14.8,0.21,3.4,14,0,16060.0,1,0.439
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,570.0,17.0,0.1,3.3,270,0,15980.0,1,0.438
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,635.0,17.9,0.18,3.5,304,0,17000.0,1,0.437
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,625.0,19.3,1.14,4.2,331,1,17000.0,1,0.436
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,485.0,19.5,1.77,4.8,335,37,17000.0,1,0.435
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,43.0,205.0,17.8,1.45,4.8,319,22,17000.0,1,0.435
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.0,25.0,14.2,0.61,3.5,305,2,15960.0,1,0.435
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,42.0,10.0,12.8,0.18,1.9,326,5,15980.0,0,0.435
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,10.0,11.5,0.1,1.0,270,2,14820.0,0,0.434
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,15.0,10.5,0.14,0.6,225,11,14860.0,0,0.434
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,12.0,15.0,9.1,0.25,1.0,323,42,13500.0,0,0.434
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,15.0,7.5,0.3,1.1,360,18,11500.0,0,0.434
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,6.2,0.9,1.8,360,19,10320.0,0,0.434
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,8.0,15.0,6.1,0.29,2.0,329,43,11560.0,0,0.435
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,116.0,20.0,6.6,0.21,1.0,315,64,11540.0,0,0.438
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,10.0,6.8,0.11,1.0,27,59,11520.0,0,0.438
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,6.3,0.16,0.7,18,17,11540.0,0,0.438
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,78.0,20.0,5.7,0.7,1.4,4,32,6420.0,0,0.438
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,69.0,15.0,5.7,0.65,1.5,360,35,2980.0,0,0.438
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,63.0,15.0,5.2,0.65,1.5,360,46,1900.0,0,0.438
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,89.0,15.0,5.6,0.6,1.3,360,93,580.0,1,0.435
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,50.0,8.1,0.74,2.4,28,61,12040.0,1,0.435
