time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,85.0,6.8,2.2,3.9,102,96,10320.0,1,0.056
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,100.0,8.3,1.9,4.3,92,94,10320.0,1,0.056
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,115.0,10.4,1.02,4.1,101,91,11560.0,1,0.056
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,140.0,13.1,0.73,3.8,106,0,12620.0,1,0.056
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,190.0,15.8,0.6,4.0,132,0,13560.0,1,0.056
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,280.0,17.7,0.55,3.9,175,0,15960.0,1,0.056
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,415.0,18.7,0.85,4.1,201,0,16220.0,1,0.042
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,660.0,19.5,0.57,4.1,225,0,16080.0,1,0.042
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,685.0,19.6,0.25,3.5,233,0,16080.0,1,0.042
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,18.8,0.14,2.3,315,0,16080.0,1,0.042
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,65.0,16.7,1.61,3.0,324,0,13640.0,0,0.042
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,115.0,15.2,3.0,5.6,334,0,12660.0,0,0.042
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,14.3,2.09,5.7,343,0,12660.0,0,0.026
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,14.2,2.14,3.9,323,0,12640.0,0,0.026
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,12.8,2.2,5.4,309,0,11580.0,0,0.026
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,11.7,1.68,4.2,300,4,11560.0,0,0.026
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,10.6,2.58,5.0,317,1,10320.0,0,0.026
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,110.0,9.8,2.48,5.1,326,0,8600.0,0,0.026
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,125.0,9.1,2.41,5.1,317,2,8600.0,0,0.01
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,105.0,8.8,2.06,4.8,319,1,7600.0,0,0.01
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,70.0,8.3,1.38,4.0,316,0,7600.0,0,0.01
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,7.5,0.47,2.6,302,0,7600.0,0,0.01
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,7.0,0.27,0.8,248,5,7600.0,0,0.01
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,6.3,0.9,1.9,273,0,6300.0,0,0.01
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,35.0,6.0,1.83,2.6,235,100,160.0,1,0.02
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,55.0,6.3,1.56,4.0,225,100,160.0,1,0.02
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,8.1,1.38,4.2,229,100,6300.0,1,0.02
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,120.0,10.5,0.85,4.5,242,6,10300.0,1,0.02
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,205.0,14.1,0.81,4.4,240,0,11560.0,1,0.02
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,310.0,16.5,0.57,4.4,218,0,13620.0,1,0.02
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,440.0,17.8,0.76,4.1,188,0,16080.0,1,0.015
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,505.0,18.7,1.05,4.4,185,0,16080.0,1,0.015
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,450.0,18.5,1.04,4.3,163,0,16100.0,1,0.015
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,17.5,1.0,3.7,108,0,16120.0,1,0.015
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,15.0,0.93,2.1,74,0,16120.0,0,0.015
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,14.2,1.2,2.4,85,0,13680.0,0,0.015
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,50.0,13.8,1.98,3.4,100,0,12720.0,0,0.01
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,65.0,13.5,2.13,4.1,114,0,12720.0,0,0.01
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,13.2,2.62,4.8,116,0,12720.0,0,0.01
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,115.0,12.9,2.68,5.2,123,0,12720.0,0,0.01
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,125.0,12.3,2.61,5.1,126,0,12720.0,0,0.01
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,120.0,11.7,2.63,5.1,123,0,11620.0,0,0.01
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,105.0,11.3,2.53,5.1,128,8,11620.0,0,0.01
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,105.0,11.2,2.54,5.0,126,5,11620.0,0,0.01
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,10.8,2.41,4.9,124,14,10340.0,0,0.01
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,90.0,10.3,2.29,4.7,122,90,10340.0,0,0.01
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,85.0,10.2,2.09,4.5,107,100,10320.0,0,0.01
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,,85.0,9.8,1.9,4.1,93,30,10320.0,0,0.01
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,105.0,10.5,1.97,3.9,97,93,10320.0,1,0.01
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,115.0,11.5,1.3,3.8,92,100,10300.0,1,0.01
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,130.0,13.1,0.73,3.5,106,30,11580.0,1,0.01
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,150.0,15.7,0.74,3.9,110,30,12700.0,1,0.01
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,220.0,18.1,0.61,3.9,125,38,13680.0,1,0.01
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,325.0,19.7,0.6,4.0,138,36,13720.0,1,0.01
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,480.0,20.1,0.45,3.9,174,67,16200.0,1,0.01
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,675.0,21.1,0.25,3.5,180,58,16200.0,1,0.01
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,955.0,21.0,0.53,2.9,41,83,16200.0,1,0.01
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,95.0,20.3,0.87,2.9,77,91,16180.0,1,0.01
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,55.0,18.8,1.15,2.5,56,24,13700.0,0,0.01
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,40.0,17.4,1.05,2.4,31,21,13680.0,0,0.01
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,75.0,17.5,2.1,2.2,359,98,13660.0,0,0.01
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,450.0,16.1,5.0,10.1,20,100,12660.0,0,0.01
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,440.0,14.7,5.06,11.0,28,100,12660.0,0,0.01
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,405.0,13.2,4.97,10.0,30,100,12640.0,0,0.01
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,360.0,11.6,4.43,10.4,25,100,12640.0,0,0.01
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,340.0,10.4,4.11,9.7,18,100,12640.0,0,0.01
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,15.0,345.0,9.6,4.01,9.2,14,99,12640.0,0,0.011
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,335.0,8.9,4.24,9.3,19,100,12640.0,0,0.011
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,3.0,315.0,8.3,3.81,9.3,19,99,12660.0,0,0.011
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,1.0,295.0,7.8,4.0,9.3,18,91,12660.0,0,0.011
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,2.0,265.0,7.5,2.66,8.7,16,78,11560.0,0,0.011
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,255.0,7.2,2.87,6.7,7,45,11560.0,0,0.011
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,85.0,320.0,7.1,3.2,7.1,1,2,11560.0,1,0.019
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,295.0,7.1,2.81,7.5,4,19,11540.0,1,0.019
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,290.0,8.5,2.16,6.9,4,52,11540.0,1,0.019
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,64.0,310.0,10.0,2.0,6.3,3,100,12620.0,1,0.019
2026-01-17T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,315.0,10.6,1.86,6.0,5,99,12660.0,1,0.019
2026-01-17T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,340.0,11.8,1.82,5.8,9,79,12680.0,1,0.019
2026-01-17T06:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,98.0,405.0,11.7,1.71,5.9,15,58,12700.0,1,0.035
2026-01-17T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,430.0,12.5,1.64,5.6,12,39,12720.0,1,0.035
2026-01-17T08:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,435.0,12.7,1.81,5.5,14,27,12740.0,1,0.036
2026-01-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,390.0,12.2,1.82,5.4,32,28,12740.0,1,0.036
2026-01-17T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,290.0,11.4,1.69,4.6,56,4,12740.0,0,0.036
2026-01-17T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,170.0,10.4,2.19,4.5,63,0,11620.0,0,0.036
2026-01-17T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,175.0,10.1,2.19,4.5,66,0,11640.0,0,0.063
2026-01-17T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,125.0,9.5,1.73,4.4,68,2,10320.0,0,0.063
2026-01-17T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,9.0,1.5,3.6,75,5,10320.0,0,0.063
2026-01-17T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,8.7,1.6,3.0,70,5,10320.0,0,0.063
2026-01-17T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,8.5,1.81,3.6,66,6,10320.0,0,0.063
2026-01-17T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,8.3,1.63,3.5,72,15,8560.0,0,0.063
2026-01-17T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,115.0,65.0,7.2,1.79,3.2,18,23,7560.0,0,0.061
2026-01-17T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,85.0,6.8,2.02,4.0,33,12,7560.0,0,0.061
2026-01-17T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,105.0,6.8,2.11,4.1,54,25,6240.0,0,0.062
2026-01-17T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,64.0,145.0,6.7,2.34,4.7,70,24,6240.0,0,0.062
2026-01-17T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,150.0,6.5,2.11,4.7,68,91,6240.0,0,0.062
2026-01-17T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,140.0,6.7,2.02,4.2,60,100,6260.0,0,0.062
2026-01-18T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,125.0,6.5,1.79,4.4,30,100,7580.0,1,0.063
2026-01-18T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,69.0,145.0,7.2,1.64,4.6,31,100,7600.0,1,0.063
2026-01-18T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,73.0,165.0,8.2,1.28,4.4,31,100,8600.0,1,0.063
2026-01-18T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,135.0,205.0,9.9,1.41,4.5,23,100,10340.0,1,0.063
2026-01-18T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,167.0,345.0,11.8,1.84,5.5,13,100,11620.0,1,0.063
2026-01-18T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,190.0,420.0,12.8,2.29,6.4,16,100,11640.0,1,0.063
2026-01-18T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,201.0,460.0,12.0,2.4,6.6,4,100,11640.0,1,0.086
2026-01-18T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,135.0,525.0,11.9,2.77,6.7,7,100,11640.0,1,0.086
2026-01-18T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,281.0,540.0,11.0,3.9,9.0,10,100,11620.0,1,0.086
2026-01-18T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,420.0,8.6,4.36,10.1,9,100,10340.0,1,0.086
2026-01-18T10:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,0.0,420.0,6.9,4.63,10.5,7,100,5220.0,0,0.086
2026-01-18T11:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,0.0,440.0,5.9,4.75,11.0,359,100,6320.0,0,0.088
2026-01-18T12:00,0.1,0.1,0.0,0.0,0.0,0.0,51,40.0,0.0,455.0,4.7,4.71,10.9,356,100,4880.0,0,0.137
2026-01-18T13:00,0.1,0.1,0.0,0.0,0.0,0.0,51,30.0,2.0,485.0,4.2,4.65,11.0,1,100,5460.0,0,0.138
2026-01-18T14:00,0.6,0.6,0.0,0.0,0.0,0.0,53,0.0,1.0,530.0,3.8,4.85,11.3,1,100,2720.0,0,0.145
2026-01-18T15:00,1.2,1.2,0.0,0.0,0.0,0.0,55,0.0,0.0,485.0,3.3,4.37,10.9,355,100,2340.0,0,0.158
2026-01-18T16:00,0.9,0.9,0.0,0.0,0.0,0.0,53,20.0,0.0,485.0,3.0,4.6,9.9,2,100,3920.0,0,0.169
2026-01-18T17:00,0.1,0.1,0.0,0.0,0.0,0.0,51,0.0,0.0,530.0,2.6,5.05,11.0,360,100,4840.0,0,0.171
2026-01-18T18:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,0.0,540.0,2.1,4.85,11.3,358,100,2660.0,0,0.169
2026-01-18T19:00,0.9,0.9,0.0,0.0,0.0,0.0,53,10.0,0.0,560.0,1.6,4.42,10.9,355,100,2940.0,0,0.18
2026-01-18T20:00,0.4,0.4,0.0,0.0,0.0,0.0,51,0.0,3.0,560.0,1.4,5.17,11.6,6,100,5260.0,0,0.184
2026-01-18T21:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,1.0,565.0,1.5,5.79,12.4,10,100,3340.0,0,0.185
2026-01-18T22:00,0.8,0.8,0.0,0.0,0.0,0.0,53,10.0,0.0,570.0,1.5,5.55,12.9,11,100,2640.0,0,0.194
2026-01-18T23:00,1.1,1.1,0.0,0.0,0.0,0.0,55,10.0,0.0,610.0,1.4,6.11,12.9,8,100,2460.0,0,0.208
2026-01-19T00:00,1.0,1.0,0.0,0.0,0.0,0.0,55,10.0,0.0,630.0,1.3,5.2,13.1,359,100,2440.0,1,0.184
2026-01-19T01:00,1.6,1.6,0.0,0.0,0.0,0.0,61,0.0,0.0,610.0,1.3,6.02,12.6,13,100,2060.0,1,0.204
2026-01-19T02:00,1.3,1.3,0.0,0.0,0.0,0.0,61,0.0,0.0,600.0,1.8,5.82,12.5,12,100,2660.0,1,0.22
2026-01-19T03:00,1.2,1.2,0.0,0.0,0.0,0.0,55,0.0,0.0,620.0,2.1,6.41,13.0,11,100,2420.0,1,0.235
2026-01-19T04:00,0.9,0.9,0.0,0.0,0.0,0.0,53,0.0,0.0,560.0,2.3,5.66,12.9,8,100,3840.0,1,0.247
2026-01-19T05:00,0.3,0.3,0.0,0.0,0.0,0.0,51,0.0,0.0,545.0,2.2,5.56,12.1,4,100,3820.0,1,0.251
2026-01-19T06:00,0.4,0.4,0.0,0.0,0.0,0.0,51,0.0,0.0,655.0,1.7,5.98,12.9,10,100,4420.0,1,0.275
2026-01-19T07:00,0.2,0.2,0.0,0.0,0.0,0.0,51,10.0,0.0,695.0,1.6,5.99,13.4,13,100,5160.0,1,0.276
2026-01-19T08:00,0.2,0.2,0.0,0.0,0.0,0.0,51,0.0,0.0,705.0,1.4,5.87,13.7,12,100,4080.0,1,0.277
2026-01-19T09:00,0.5,0.5,0.0,0.0,0.0,0.0,53,0.0,0.0,700.0,1.0,5.73,13.9,12,100,3400.0,1,0.282
2026-01-19T10:00,0.4,0.4,0.0,0.0,0.0,0.0,51,10.0,0.0,690.0,0.6,5.49,13.6,19,100,4040.0,0,0.286
2026-01-19T11:00,0.5,0.5,0.0,0.0,0.0,0.0,53,0.0,0.0,695.0,0.3,5.56,13.2,16,100,3000.0,0,0.291
2026-01-19T12:00,0.6,0.6,0.0,0.0,0.0,0.0,53,0.0,0.0,685.0,0.2,5.46,13.3,14,100,1940.0,0,0.263
2026-01-19T13:00,0.8,0.3,0.0,0.35,0.5,0.01,73,0.0,0.0,695.0,-0.2,5.53,12.6,13,100,360.0,0,0.265
2026-01-19T14:00,0.6,0.0,0.0,0.42,0.6,0.01,73,0.0,0.0,705.0,-0.7,6.15,13.4,15,100,480.0,0,0.265
2026-01-19T15:00,0.7,0.0,0.0,0.49,0.7,0.01,73,0.0,0.0,680.0,-1.1,5.9,13.4,18,100,2120.0,0,0.265
2026-01-19T16:00,0.7,0.1,0.0,0.42,0.6,0.02,73,0.0,0.0,640.0,-1.5,5.94,13.1,23,100,2740.0,0,0.265
2026-01-19T17:00,0.4,0.0,0.0,0.28,0.4,0.02,73,0.0,0.0,665.0,-1.5,5.6,12.7,19,100,2780.0,0,0.264
2026-01-19T18:00,0.5,0.0,0.0,0.35,0.5,0.03,73,0.0,0.0,660.0,-1.7,5.22,12.5,18,100,3020.0,0,0.264
2026-01-19T19:00,0.6,0.0,0.0,0.42,0.6,0.03,73,0.0,0.0,690.0,-2.1,5.19,11.9,16,100,2000.0,0,0.264
2026-01-19T20:00,1.0,0.0,0.0,0.7,1.0,0.04,73,0.0,0.0,685.0,-2.6,5.56,11.8,16,100,2680.0,0,0.263
2026-01-19T21:00,0.3,0.0,0.0,0.21,0.3,0.04,73,0.0,0.0,665.0,-3.1,5.47,12.2,16,100,3700.0,0,0.263
2026-01-19T22:00,0.3,0.0,0.0,0.21,0.3,0.04,73,0.0,0.0,650.0,-3.3,5.27,11.6,17,100,3940.0,0,0.263
2026-01-19T23:00,0.1,0.0,0.0,0.14,0.2,0.04,71,0.0,0.0,635.0,-3.5,5.06,11.6,17,100,7120.0,0,0.262
2026-01-20T00:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,620.0,-3.3,5.65,12.2,22,100,6660.0,1,0.257
2026-01-20T01:00,0.1,0.0,0.0,0.07,0.1,0.03,71,0.0,0.0,655.0,-3.2,6.1,13.1,22,100,6740.0,1,0.257
2026-01-20T02:00,0.1,0.0,0.0,0.07,0.1,0.03,71,0.0,0.0,645.0,-3.0,5.76,13.2,23,100,4720.0,1,0.257
2026-01-20T03:00,0.3,0.0,0.0,0.21,0.3,0.03,73,0.0,0.0,675.0,-2.8,5.0,12.6,16,100,3980.0,1,0.256
2026-01-20T04:00,0.2,0.0,0.0,0.14,0.2,0.03,71,0.0,0.0,615.0,-2.7,4.63,11.1,18,100,7340.0,1,0.256
2026-01-20T05:00,0.0,0.0,0.0,0.0,0.0,0.03,2,0.0,0.0,675.0,-2.2,4.81,10.9,19,79,8720.0,1,0.255
2026-01-20T06:00,0.0,0.0,0.0,0.0,0.0,0.03,3,0.0,0.0,785.0,-1.6,4.92,11.0,9,100,10100.0,1,0.255
2026-01-20T07:00,0.0,0.0,0.0,0.0,0.0,0.03,3,0.0,0.0,775.0,-2.3,4.53,11.5,7,100,9520.0,1,0.254
2026-01-20T08:00,0.0,0.0,0.0,0.0,0.0,0.03,3,10.0,0.0,805.0,-2.7,4.91,10.9,9,100,6120.0,1,0.254
2026-01-20T09:00,0.0,0.0,0.0,0.0,0.0,0.03,3,0.0,0.0,740.0,-3.0,4.58,11.0,14,100,9420.0,1,0.253
2026-01-20T10:00,0.0,0.0,0.0,0.0,0.0,0.03,3,0.0,0.0,710.0,-3.2,3.93,10.3,15,92,10280.0,0,0.253
2026-01-20T11:00,0.0,0.0,0.0,0.0,0.0,0.03,3,0.0,0.0,640.0,-3.4,3.47,9.3,7,100,10600.0,0,0.253
2026-01-20T12:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,600.0,-3.3,3.83,8.9,7,100,10600.0,0,0.253
2026-01-20T13:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,590.0,-3.4,3.59,8.5,8,100,8780.0,0,0.253
2026-01-20T14:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,595.0,-3.4,3.86,8.6,10,100,5680.0,0,0.252
2026-01-20T15:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,580.0,-3.5,3.57,8.8,11,100,2020.0,0,0.252
2026-01-20T16:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,565.0,-3.5,3.44,8.0,9,100,8200.0,0,0.252
2026-01-20T17:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,545.0,-3.6,3.24,7.8,9,100,10420.0,0,0.252
2026-01-20T18:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,535.0,-3.6,3.03,7.4,8,98,10340.0,0,0.252
2026-01-20T19:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,500.0,-3.8,2.87,6.7,7,99,10520.0,0,0.252
2026-01-20T20:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,510.0,-3.9,3.02,7.1,7,100,10680.0,0,0.252
2026-01-20T21:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,495.0,-4.1,3.02,7.0,12,100,10740.0,0,0.252
2026-01-20T22:00,0.0,0.0,0.0,0.0,0.0,0.02,3,0.0,0.0,500.0,-4.3,2.9,7.0,15,100,10740.0,0,0.251
2026-01-20T23:00,0.0,0.0,0.0,0.0,0.0,0.02,2,0.0,0.0,455.0,-4.6,3.17,7.2,16,65,10740.0,0,0.251
2026-01-21T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,415.0,-4.5,3.17,7.4,12,72,10740.0,1,0.251
2026-01-21T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,420.0,-3.8,2.97,7.5,13,37,10740.0,1,0.251
2026-01-21T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,480.0,-2.4,2.84,7.6,14,48,11820.0,1,0.25
2026-01-21T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,550.0,-1.0,2.64,7.7,15,78,12720.0,1,0.25
2026-01-21T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,680.0,0.2,1.71,7.4,7,100,12720.0,1,0.25
2026-01-21T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,760.0,0.9,2.38,6.9,15,100,13480.0,1,0.248
2026-01-21T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,790.0,-0.3,1.78,6.9,11,100,12380.0,1,0.249
2026-01-21T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,840.0,0.1,1.38,4.8,13,100,12260.0,1,0.248
2026-01-21T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,850.0,0.2,1.58,4.1,11,99,13060.0,1,0.247
2026-01-21T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,850.0,0.4,1.21,3.8,353,100,12700.0,1,0.246
2026-01-21T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,430.0,0.1,1.15,2.8,326,100,12680.0,0,0.246
2026-01-21T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,490.0,-0.1,1.92,4.2,335,100,12240.0,0,0.246
2026-01-21T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,540.0,-0.8,1.96,6.2,341,100,7080.0,0,0.247
2026-01-21T13:00,0.1,0.0,0.0,0.07,0.1,0.0,71,0.0,0.0,435.0,-1.3,2.45,5.7,359,100,7300.0,0,0.246
2026-01-21T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,395.0,-1.6,2.07,5.6,7,100,9660.0,0,0.246
2026-01-21T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,370.0,-1.7,1.55,4.8,15,98,10600.0,0,0.245
2026-01-21T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,325.0,-1.9,1.46,3.6,352,100,11800.0,0,0.245
